local_authority_area,2008_cases_total,2013_cases_total,2018_cases_total,2008_pop_total,2013_pop_total,2018_pop_total,2008_cases_male,2013_cases_male,2018_cases_male,2008_pop_male,2013_pop_male,2018_pop_male,2008_cases_female,2013_cases_female,2018_cases_female,2008_pop_female,2013_pop_female,2018_pop_female,total_budget,clean_air,clean_environ,health_training,school_awareness,media_awareness,sub_counselling,region,local_authority_type,,2008_proportion,2013_proportion,2018_proportion,if_increase
Buckinghamshire,1039,1090,1299,494894,513160,545451,404,388,469,242201,238001,264262,635,702,830,252693,275159,281189,349000,47000,154000,61000,31000,42000,14000,South East,non_metropolitan_county,,0.002099439,0.002124094,0.002381515,1
Bury,473,486,582,182854,192772,194161,189,203,244,89946,91748,93390,284,283,338,92908,101024,100771,141000,25000,32000,6000,46000,17000,15000,North West,metropolitan_borough,,0.002586763,0.002521113,0.002997512,1
Calderdale,663,680,775,201482,208202,215250,183,185,219,97195,100521,105710,480,495,556,104287,107681,109540,149000,46000,29000,18000,34000,14000,8000,Yorkshire and the Humber,metropolitan_borough,,0.003290617,0.003266059,0.003600465,1
Cambridgeshire,1553,1469,1714,604748,595586,665961,623,591,678,293303,290190,324931,930,878,1036,311445,305396,341030,551000,149000,10000,84000,214000,63000,31000,East of England,non_metropolitan_county,,0.002568012,0.002466478,0.002573724,1
Camden,339,330,371,228064,210856,210127,141,136,135,112800,101661,95456,198,194,236,115264,109195,114671,180000,50000,21000,16000,66000,12000,15000,London,london_borough,,0.001486425,0.001565049,0.001765599,1
Central Bedfordshire,507,604,649,253539,275758,289823,199,216,254,126060,133202,140076,308,388,395,127479,142556,149747,180000,35000,36000,31000,27000,24000,27000,East of England,unitary_authority,,0.001999692,0.002190326,0.002239298,1
Cheshire East,1308,1469,1622,364701,392367,397334,426,542,600,178193,201756,204317,882,927,1022,186508,190611,193017,299000,70000,68000,24000,57000,52000,28000,North West,unitary_authority,,0.0035865,0.003743944,0.004082208,1
Cheshire West and Chester,1191,1222,1486,328251,324078,354454,357,356,479,159333,155573,177874,834,866,1007,168918,168505,176580,281000,98000,19000,22000,75000,55000,12000,North West,unitary_authority,,0.003628321,0.003770697,0.004192363,1
City of London,16,14,12,11378,9838,8107,5,3,3,5653,4728,4396,11,11,9,5725,5110,3711,50000,12000,9000,6000,20000,2000,1000,London,other_london,,0.001406223,0.001423053,0.001480202,1
Cornwall,3002,3299,3557,532854,571165,598530,933,1118,1187,260459,293692,309726,2069,2181,2370,272395,277473,288804,411000,139000,145000,10000,20000,63000,34000,South West,unitary_authority,,0.005633813,0.005775914,0.005942893,1
Coventry,1565,1806,1740,312644,331913,320263,574,645,557,153977,160367,147359,991,1161,1183,158667,171546,172904,240000,17000,94000,15000,51000,47000,16000,West Midlands,metropolitan_borough,,0.005005693,0.005441185,0.005433035,1
Croydon,685,782,1005,343556,354141,374614,223,238,317,169201,167813,167602,462,544,688,174355,186328,207012,230000,47000,27000,28000,78000,21000,29000,London,london_borough,,0.001993853,0.00220816,0.002682761,1
Cumbria,1240,1325,1472,499325,517343,540101,399,440,510,244120,263234,282272,841,885,962,255205,254109,257829,340000,81000,64000,54000,81000,29000,31000,North West,non_metropolitan_county,,0.002483353,0.002561163,0.002725416,1
Darlington,145,167,171,100791,109293,111852,68,76,80,49589,55452,54043,77,91,91,51202,53841,57809,79000,18000,33000,3000,12000,10000,3000,North East,unitary_authority,,0.001438621,0.001528003,0.001528806,1
Derby,1014,1078,1169,244879,257244,261350,267,272,277,119256,118197,118675,747,806,892,125623,139047,142675,189000,81000,48000,7000,24000,13000,16000,East Midlands,unitary_authority,,0.004140821,0.004190574,0.004472929,1
Derbyshire,3691,3905,4222,763335,787700,842279,1162,1206,1345,372584,379088,426044,2529,2699,2877,390751,408612,416235,580000,157000,112000,38000,134000,78000,61000,East Midlands,non_metropolitan_county,,0.004835361,0.004957471,0.005012591,1
Devon,1428,1536,1789,751957,814287,865781,499,565,651,369136,410872,442047,929,971,1138,382821,403415,423734,580000,76000,86000,88000,178000,102000,50000,South West,non_metropolitan_county,,0.001899045,0.001886313,0.002066342,1
Doncaster,1073,1202,1323,291298,310134,325703,273,354,355,141600,163764,160060,800,848,968,149698,146370,165643,200000,53000,67000,14000,39000,8000,19000,Yorkshire and the Humber,metropolitan_borough,,0.003683513,0.003875744,0.004061983,1
Dorset,1118,1258,1524,408602,439944,505184,448,511,595,202544,221786,261782,670,747,929,206058,218158,243402,310000,70000,58000,18000,77000,50000,37000,South West,non_metropolitan_county,,0.002736159,0.002859455,0.003016723,1
Dudley,1556,1701,1847,308415,326722,330357,385,434,455,153313,166273,163646,1171,1267,1392,155102,160449,166711,260000,52000,65000,23000,52000,53000,15000,West Midlands,metropolitan_borough,,0.00504515,0.005206261,0.005590921,1
Durham,837,951,1151,508487,539641,561197,340,373,467,250837,263464,275832,497,578,684,257650,276177,285365,411000,108000,65000,23000,130000,57000,28000,North East,unitary_authority,,0.00164606,0.001762283,0.002050973,1
Ealing,1156,1258,1359,314255,315880,306754,422,461,461,153042,148034,140954,734,797,898,161213,167846,165800,250000,48000,78000,24000,54000,26000,20000,London,london_borough,,0.003678541,0.003982525,0.00443026,1
East Riding of Yorkshire,976,1036,1162,338421,343909,374556,346,420,425,167518,181413,194309,630,616,737,170903,162496,180247,269000,89000,39000,5000,79000,20000,37000,Yorkshire and the Humber,unitary_authority,,0.002883982,0.003012425,0.00310234,1
East Sussex,1533,1713,1938,514630,565376,604630,562,676,705,250625,295226,302716,971,1037,1233,264005,270150,301914,449000,94000,79000,54000,110000,84000,28000,South East,non_metropolitan_county,,0.002978839,0.003029842,0.003205266,1
Enfield,658,696,880,290996,282047,300205,249,257,302,145120,136309,135599,409,439,578,145876,145738,164606,249000,63000,68000,17000,57000,28000,16000,London,london_borough,,0.002261199,0.002467674,0.00293133,1
Essex,2749,2889,3218,1397082,1470524,1541363,1063,1133,1244,690717,725011,754208,1686,1756,1974,706365,745513,787155,1070000,297000,270000,47000,284000,75000,97000,East of England,non_metropolitan_county,,0.001967673,0.001964606,0.002087763,1
Gateshead,418,470,623,191211,202469,216686,112,148,191,94267,103105,103913,306,322,432,96944,99364,112773,131000,38000,17000,19000,21000,27000,9000,North East,metropolitan_borough,,0.002186067,0.002321343,0.002875128,1
Gloucestershire,1118,1253,1461,590248,640321,679014,487,557,647,287746,315179,332820,631,696,814,302502,325142,346194,459000,49000,93000,20000,139000,115000,43000,South West,non_metropolitan_county,,0.001894119,0.001956831,0.002151649,1
Greenwich,492,645,760,225245,254710,271934,151,178,199,110640,113216,116730,341,467,561,114605,141494,155204,179000,48000,63000,6000,41000,10000,11000,London,london_borough,,0.002184288,0.002532292,0.002794796,1
Hackney,916,938,1072,214270,205973,202667,275,275,262,104864,93998,82260,641,663,810,109406,111975,120407,169000,27000,45000,20000,43000,22000,12000,London,london_borough,,0.00427498,0.004553995,0.005289465,1
Halton,405,441,486,119318,124707,133832,151,154,183,58084,59766,64769,254,287,303,61234,64941,69063,99000,31000,20000,7000,21000,10000,10000,North West,unitary_authority,,0.003394291,0.003536289,0.003631418,1
Hammersmith and Fulham,518,532,493,169764,168920,146668,228,213,174,82403,77765,61189,290,319,319,87361,91155,85479,121000,28000,26000,13000,36000,14000,4000,London,london_borough,,0.003051295,0.00314942,0.003361333,1
Hampshire,2946,3247,3536,1292464,1398789,1457991,1065,1079,1256,631498,647773,720391,1881,2168,2280,660966,751016,737600,1120000,187000,253000,122000,266000,203000,89000,South East,non_metropolitan_county,,0.002279367,0.002321294,0.002425255,1
Haringey,514,604,662,226856,230112,226315,189,213,216,109798,106317,98261,325,391,446,117058,123795,128054,181000,37000,29000,13000,35000,52000,15000,London,london_borough,,0.002265754,0.002624809,0.002925126,1
Harrow,747,834,954,226957,234925,236948,299,300,384,111549,110654,112364,448,534,570,115408,124271,124584,191000,43000,36000,4000,62000,17000,29000,London,london_borough,,0.003291372,0.003550069,0.0040262,1
Hartlepool,290,317,329,91427,96193,96151,100,120,117,44854,46835,46775,190,197,212,46573,49358,49376,89000,37000,14000,7000,17000,7000,7000,North East,unitary_authority,,0.00317193,0.003295458,0.003421701,1
Havering,661,750,854,233904,258435,260498,241,277,307,113373,122292,120303,420,473,547,120531,136143,140195,211000,45000,38000,32000,72000,16000,8000,London,london_borough,,0.002825946,0.002902084,0.003278336,1
Herefordshire,406,413,502,180337,184964,205470,117,122,178,87752,91022,109125,289,291,324,92585,93942,96345,120000,4000,51000,13000,42000,6000,4000,West Midlands,unitary_authority,,0.002251341,0.002232867,0.002443179,1
Hertfordshire,3456,3589,3870,1091385,1101241,1175458,1307,1178,1343,535215,520960,552134,2149,2411,2527,556170,580281,623324,890000,239000,246000,102000,180000,43000,80000,East of England,non_metropolitan_county,,0.003166619,0.00325905,0.003292334,1
Hillingdon,602,711,812,259882,260998,292941,204,241,266,124951,119047,132039,398,470,546,134931,141951,160902,209000,50000,61000,18000,62000,9000,9000,London,london_borough,,0.002316436,0.002724159,0.002771889,1
Hounslow,486,573,618,231790,252492,240697,202,228,269,112465,120963,111903,284,345,349,119325,131529,128794,190000,48000,63000,8000,40000,22000,9000,London,london_borough,,0.002096725,0.002269379,0.002567543,1
Isle of Wight,356,415,510,141168,157077,170539,167,208,248,71078,80824,85067,189,207,262,70090,76253,85472,120000,24000,33000,9000,24000,22000,8000,South East,unitary_authority,,0.002521818,0.002642016,0.002990518,1
Isles of Scilly,5,1,4,2200,2385,2440,2,0,1,1085,1305,1426,3,1,3,1115,1080,1014,2000,0,0,0,2000,0,0,South West,unitary_authority,,0.002272727,0.000419287,0.001639344,1
Islington,509,509,580,189802,177883,171105,183,191,192,93591,84403,75678,326,318,388,96211,93480,95427,140000,34000,45000,13000,27000,19000,2000,London,london_borough,,0.002681742,0.002861431,0.003389731,1
Kensington and Chelsea,298,287,386,172282,153718,151595,126,110,154,83884,72527,69749,172,177,232,88398,81191,81846,130000,33000,42000,10000,20000,19000,6000,London,london_borough,,0.001729722,0.001867055,0.002546258,1
Kent,3356,3703,4063,1411380,1528154,1623387,1398,1569,1621,694681,754646,790860,1958,2134,2442,716699,773508,832527,1170000,278000,333000,84000,291000,121000,63000,South East,non_metropolitan_county,,0.002377815,0.002423185,0.002502792,1
Kingston upon Hull,575,646,676,262903,282770,270387,163,162,158,127087,135487,123761,412,484,518,135816,147283,146626,200000,23000,50000,23000,63000,26000,15000,Yorkshire and the Humber,unitary_authority,,0.002187118,0.002284542,0.00250012,1
Kingston upon Thames,269,271,394,165737,163238,164622,105,93,139,80979,73361,71727,164,178,255,84758,89877,92895,139000,32000,39000,13000,21000,28000,6000,London,london_borough,,0.001623053,0.001660153,0.002393362,1
Kirklees,1504,1777,1854,406387,447296,445712,429,487,529,199861,218228,214157,1075,1290,1325,206526,229068,231555,330000,19000,136000,51000,69000,34000,21000,Yorkshire and the Humber,metropolitan_borough,,0.003700906,0.003972761,0.004159637,1
Knowsley,517,559,607,150734,145162,153911,199,198,227,73905,67716,70929,318,361,380,76829,77446,82982,120000,17000,33000,13000,32000,21000,4000,North West,metropolitan_borough,,0.003429883,0.00385087,0.003943838,1
Lambeth,845,839,992,283343,268978,264816,274,257,237,138583,124895,101791,571,582,755,144760,144083,163025,260000,58000,111000,32000,16000,15000,28000,London,london_borough,,0.002982251,0.003119214,0.003745997,1
Lancashire,4199,4419,5032,1173146,1208809,1267187,1582,1699,1907,582467,616044,623507,2617,2720,3125,590679,592765,643680,800000,180000,292000,41000,163000,33000,91000,North West,non_metropolitan_county,,0.003579265,0.003655664,0.003971,1
Leeds,1751,1891,2014,784682,770522,751399,629,616,662,384180,354299,345700,1122,1275,1352,400502,416223,405699,550000,119000,172000,22000,163000,63000,11000,Yorkshire and the Humber,metropolitan_borough,,0.002231477,0.00245418,0.002680334,1
Leicester,988,967,1075,305898,295864,306820,307,287,305,147565,138934,139503,681,680,770,158333,156930,167317,241000,63000,95000,14000,34000,15000,20000,East Midlands,unitary_authority,,0.003229835,0.003268394,0.003503683,1
Leicestershire,2160,2423,2620,645930,703305,727710,754,903,898,314439,360492,358847,1406,1520,1722,331491,342813,368863,459000,122000,28000,67000,139000,26000,77000,East Midlands,non_metropolitan_county,,0.003344016,0.003445162,0.003600335,1
Lewisham,514,556,742,263809,274404,283014,153,150,177,127182,123486,110434,361,406,565,136627,150918,172580,180000,26000,55000,30000,44000,6000,19000,London,london_borough,,0.001948379,0.00202621,0.002621778,1
Lincolnshire,2015,2162,2431,700404,758073,815848,700,736,872,344038,366415,410078,1315,1426,1559,356366,391658,405770,491000,117000,61000,45000,151000,77000,40000,East Midlands,non_metropolitan_county,,0.002876911,0.002851968,0.002979722,1
Liverpool,1372,1601,1812,444146,463932,478103,535,565,654,215944,201148,214481,837,1036,1158,228202,262784,263622,310000,91000,44000,37000,60000,66000,12000,North West,metropolitan_borough,,0.003089074,0.003450937,0.003789978,1
Luton,494,563,547,191816,207151,198272,164,197,175,93510,100747,90992,330,366,372,98306,106404,107280,140000,52000,9000,15000,32000,14000,18000,East of England,unitary_authority,,0.002575385,0.002717824,0.002758836,1
Manchester,1778,1845,1870,476468,468012,456648,636,639,569,234518,220737,194804,1142,1206,1301,241950,247275,261844,439000,149000,69000,55000,107000,28000,31000,North West,metropolitan_borough,,0.003731625,0.003942207,0.004095058,1
Medway,982,1081,1120,255251,283858,279620,340,388,376,122623,139584,132628,642,693,744,132628,144274,146992,190000,49000,33000,10000,51000,33000,14000,South East,unitary_authority,,0.003847194,0.003808242,0.004005436,1
Merton,332,318,412,204200,182584,178733,151,158,184,100426,83819,78619,181,160,228,103774,98765,100114,160000,38000,55000,8000,30000,23000,6000,London,london_borough,,0.001625857,0.001741664,0.002305114,1
Middlesbrough,229,230,253,141067,136026,135402,99,100,113,68375,65051,64752,130,130,140,72692,70975,70650,101000,19000,33000,10000,17000,13000,9000,North East,unitary_authority,,0.001623342,0.001690853,0.00186851,1
Milton Keynes,839,869,867,234508,246600,252016,314,327,295,114628,117924,117803,525,542,572,119880,128676,134213,210000,29000,53000,23000,77000,9000,19000,South East,unitary_authority,,0.003577703,0.003523925,0.003440258,1
Newcastle upon Tyne,483,491,580,279718,270928,280311,177,171,193,138544,126093,125862,306,320,387,141174,144835,154449,220000,14000,26000,20000,112000,27000,21000,North East,metropolitan_borough,,0.001726739,0.00181229,0.00206913,1
Newham,568,669,710,244074,241099,237261,192,210,206,119621,108593,111074,376,459,504,124453,132506,126187,200000,31000,45000,22000,54000,31000,17000,London,london_borough,,0.002327163,0.002774794,0.002992485,1
Norfolk,2483,2917,3058,853151,953390,971906,829,1000,1093,417361,461507,490978,1654,1917,1965,435790,491883,480928,619000,142000,139000,98000,112000,87000,41000,East of England,non_metropolitan_county,,0.002910387,0.003059608,0.003146395,1
North East Lincolnshire,393,395,456,158286,162232,168754,151,136,173,78082,79475,82979,242,259,283,80204,82757,85775,110000,25000,14000,7000,32000,25000,7000,Yorkshire and the Humber,unitary_authority,,0.002482848,0.002434785,0.002702158,1
North Lincolnshire,255,285,340,161608,166070,183030,90,116,113,79253,86165,91962,165,169,227,82355,79905,91068,141000,34000,37000,17000,34000,8000,11000,Yorkshire and the Humber,unitary_authority,,0.001577892,0.001716144,0.001857619,1
North Somerset,773,824,833,208429,217790,218624,221,270,262,102443,111927,114101,552,554,571,105986,105863,104523,160000,26000,32000,24000,50000,9000,19000,South West,unitary_authority,,0.003708697,0.003783461,0.003810195,1
North Tyneside,619,703,771,197354,206800,218769,221,254,280,95697,97691,105804,398,449,491,101657,109109,112965,150000,43000,51000,15000,22000,12000,7000,North East,metropolitan_borough,,0.003136496,0.00339942,0.003524265,1
North Yorkshire,2117,2339,2607,597599,649891,676178,779,897,1039,291330,326918,345749,1338,1442,1568,306269,322973,330429,489000,57000,141000,11000,109000,108000,63000,Yorkshire and the Humber,non_metropolitan_county,,0.003542509,0.003599065,0.003855494,1
Northamptonshire,3050,3213,3501,683890,716111,751413,1078,1114,1213,336405,352108,363837,1972,2099,2288,347485,364003,387576,590000,234000,79000,87000,34000,71000,85000,East Midlands,non_metropolitan_county,,0.004459782,0.004486735,0.004659222,1
Northumberland,1011,1082,1286,313047,327534,351792,344,435,482,154113,166259,179122,667,647,804,158934,161275,172670,240000,65000,65000,21000,40000,26000,23000,North East,unitary_authority,,0.003229547,0.003303474,0.003655569,1
Nottingham,2098,2226,2080,298648,310011,292387,731,692,599,149324,146798,128704,1367,1534,1481,149324,163213,163683,221000,45000,42000,23000,82000,22000,7000,East Midlands,unitary_authority,,0.007024993,0.00718039,0.007113859,1
Nottinghamshire,5065,5582,5745,778640,862292,870182,1762,2065,2000,379743,442717,431134,3303,3517,3745,398897,419575,439048,529000,134000,126000,70000,166000,13000,20000,East Midlands,non_metropolitan_county,,0.006504932,0.006473445,0.006602067,1
Oldham,680,721,844,219707,213764,224711,291,300,352,107437,99406,106394,389,421,492,112270,114358,118317,180000,23000,62000,18000,38000,21000,18000,North West,metropolitan_borough,,0.003095031,0.003372879,0.003755935,1
Oxfordshire,987,1014,1293,639889,641446,696312,305,310,402,308043,304690,336128,682,704,891,331846,336756,360184,559000,100000,254000,61000,3000,107000,34000,South East,non_metropolitan_county,,0.001542455,0.001580803,0.001856926,1
Peterborough,416,440,505,170973,189028,195373,136,108,136,84717,88016,90337,280,332,369,86256,101012,105036,130000,18000,53000,11000,22000,19000,7000,East of England,unitary_authority,,0.002433133,0.002327697,0.002584799,1
Plymouth,706,752,761,257365,253227,264370,274,284,316,125285,121218,127746,432,468,445,132080,132009,136624,209000,31000,56000,7000,57000,39000,19000,South West,unitary_authority,,0.002743186,0.002969668,0.002878541,1
Poole,478,533,578,141672,152245,161802,172,217,216,69122,77907,80842,306,316,362,72550,74338,80960,100000,16000,20000,15000,38000,6000,5000,South West,unitary_authority,,0.003373991,0.003500936,0.003572267,1
Portsmouth,586,589,639,200777,197457,202287,198,192,221,98521,95982,94742,388,397,418,102256,101475,107545,162000,34000,22000,24000,41000,27000,14000,South East,unitary_authority,,0.002918661,0.002982928,0.003158878,1
Reading,150,142,156,150230,141693,141550,61,61,51,74364,72584,68686,89,81,105,75866,69109,72864,110000,33000,30000,10000,22000,6000,9000,South East,unitary_authority,,0.000998469,0.001002167,0.001102084,1
Redbridge,575,582,774,265622,265694,274649,209,215,262,132359,130903,124384,366,367,512,133263,134791,150265,200000,9000,66000,19000,66000,20000,20000,London,london_borough,,0.00216473,0.00219049,0.002818142,1
Redcar and Cleveland,208,235,249,138752,136685,145345,87,83,101,68807,65002,70932,121,152,148,69945,71683,74413,119000,40000,29000,5000,19000,13000,13000,North East,unitary_authority,,0.001499077,0.001719282,0.001713165,1
Richmond upon Thames,217,258,357,188493,175272,186495,101,118,146,93191,83747,84215,116,140,211,95302,91525,102280,130000,24000,39000,16000,29000,12000,10000,London,london_borough,,0.001151236,0.001471998,0.00191426,1
Rochdale,637,675,824,205812,206961,215208,240,259,332,99243,100591,102472,397,416,492,106569,106370,112736,140000,32000,20000,11000,43000,20000,14000,North West,metropolitan_borough,,0.003095058,0.003261484,0.003828854,1
Rotherham,908,996,1028,254646,260876,276075,277,332,338,122765,126938,135342,631,664,690,131881,133938,140733,210000,57000,64000,19000,43000,19000,8000,Yorkshire and the Humber,metropolitan_borough,,0.003565734,0.003817906,0.003723626,1
Rutland,88,102,86,38363,39872,42952,28,23,26,18940,20307,23196,60,79,60,19423,19565,19756,51000,17000,5000,8000,14000,5000,2000,East Midlands,unitary_authority,,0.002293877,0.002558186,0.002002235,1
Salford,1469,1442,1618,224540,219980,234745,546,530,554,110676,107129,110012,923,912,1064,113864,112851,124733,189000,39000,32000,1000,72000,26000,19000,North West,metropolitan_borough,,0.006542264,0.006555141,0.006892586,1
Sandwell,858,920,1055,290694,302347,323230,279,279,292,145085,148903,150053,579,641,763,145609,153444,173177,250000,51000,86000,35000,42000,19000,17000,West Midlands,metropolitan_borough,,0.002951557,0.003042861,0.00326393,1
Sefton,723,807,909,276094,298913,297041,271,328,378,136059,151601,148441,452,479,531,140035,147312,148600,220000,73000,62000,24000,30000,14000,17000,North West,metropolitan_borough,,0.002618673,0.002699782,0.003060184,1
Sheffield,1229,1457,1562,543528,589713,578839,369,444,454,261654,282697,269517,860,1013,1108,281874,307016,309322,430000,130000,131000,20000,83000,27000,39000,Yorkshire and the Humber,metropolitan_borough,,0.002261153,0.002470693,0.002698505,1
Shropshire,1091,1171,1406,292707,311424,353334,383,423,522,143163,156474,181483,708,748,884,149544,154950,171851,231000,25000,83000,26000,38000,48000,11000,West Midlands,unitary_authority,,0.003727277,0.003760147,0.003979238,1
Slough,777,773,779,126669,119952,119201,282,244,254,60826,54710,53960,495,529,525,65843,65242,65241,110000,15000,15000,16000,27000,15000,22000,South East,unitary_authority,,0.006134098,0.006444244,0.00653518,1
Solihull,601,654,647,205711,200858,214579,144,134,166,103431,101721,108104,457,520,481,102280,99137,106475,149000,35000,58000,10000,35000,6000,5000,West Midlands,metropolitan_borough,,0.002921574,0.003256032,0.003015207,1
Somerset,1644,1823,1927,527820,546360,583966,479,519,586,255940,259669,303940,1165,1304,1341,271880,286691,280026,439000,131000,104000,36000,60000,61000,47000,South West,non_metropolitan_county,,0.003114698,0.003336628,0.00329985,1
South Gloucestershire,1151,1310,1331,262198,288466,290954,332,344,342,129237,136040,141353,819,966,989,132961,152426,149601,210000,31000,81000,18000,42000,27000,11000,South West,unitary_authority,,0.004389812,0.004541263,0.004574606,1
South Tyneside,244,251,310,152446,156559,159558,83,84,105,74470,77767,77284,161,167,205,77976,78792,82274,130000,16000,47000,17000,35000,5000,10000,North East,metropolitan_borough,,0.001600567,0.001603229,0.001942867,1
Southampton,1344,1278,1292,235717,232656,225346,500,495,439,114936,118308,104156,844,783,853,120781,114348,121190,191000,27000,35000,25000,66000,25000,13000,South East,unitary_authority,,0.005701753,0.005493089,0.005733406,1
Southend on Sea,294,319,371,164226,174684,190184,88,80,100,80323,84457,91118,206,239,271,83903,90227,99066,119000,26000,41000,3000,30000,9000,10000,East of England,unitary_authority,,0.001790216,0.001826155,0.001950742,1
Southwark,922,931,1095,284954,267480,270403,299,282,302,137918,123629,107593,623,649,793,147036,143851,162810,221000,24000,57000,21000,64000,32000,23000,London,london_borough,,0.00323561,0.003480634,0.004049511,1
St Helens,565,571,642,177920,185185,191231,226,216,269,87786,84404,94583,339,355,373,90134,100781,96648,139000,35000,39000,15000,40000,7000,3000,North West,metropolitan_borough,,0.003175585,0.003083403,0.003357196,1
Staffordshire,4044,4357,4762,832711,890897,938497,1352,1469,1668,402283,438324,471250,2692,2888,3094,430428,452573,467247,561000,158000,173000,35000,99000,60000,36000,West Midlands,non_metropolitan_county,,0.004856427,0.004890577,0.005074071,1
Stockport,1449,1566,1700,284451,301815,305303,579,626,678,139210,148567,148638,870,940,1022,145241,153248,156665,220000,43000,46000,20000,65000,29000,17000,North West,metropolitan_borough,,0.005094023,0.005188609,0.005568239,1
Stockton on Tees,499,575,596,191111,203041,201723,184,199,209,94485,93727,97231,315,376,387,96626,109314,104492,160000,39000,40000,16000,38000,18000,9000,North East,unitary_authority,,0.002611048,0.00283194,0.002954547,1
Stoke on Trent,1164,1226,1273,240953,258299,262086,347,347,370,119079,124861,126541,817,879,903,121874,133438,135545,200000,38000,57000,7000,61000,25000,12000,West Midlands,unitary_authority,,0.004830818,0.004746437,0.004857184,1
Suffolk,2436,2508,2804,715507,751845,808963,841,989,1033,349024,394758,410409,1595,1519,1771,366483,357087,398554,559000,167000,113000,41000,142000,43000,53000,East of England,non_metropolitan_county,,0.003404579,0.003335794,0.003466166,1
Sunderland,659,767,805,282840,290910,298132,215,253,281,138818,137506,142810,444,514,524,144022,153404,155322,260000,68000,73000,5000,63000,32000,19000,North East,metropolitan_borough,,0.002329939,0.002636554,0.002700146,1
